Question,Difficulty,Correct Answer,Option 1,Option 2,Option 3,Option 4
Who is known as the Father of Nollywood?,medium,A,A. Kenneth Nnebue,B. Ramsey Nouah,C. Kunle Afolayan,D. Genevieve Nnaji
"In which year was Nollywood's first blockbuster, 'Living in Bondage', released?",hard,B,A. 1990,B. 1992,C. 1995,D. 1998
Which Nigerian filmmaker is known as the 'father of Nollywood'?,hard,B,A. Genevieve Nnaji,B. Kenneth Nnebue,C. Tunde Kelani,D. Kunle Afolayan
Which year did the Lagos Race Course host Nigeria's first independence ceremony?,medium,B,A. 1959,B. 1960,C. 1961,D. 1963
Fela Kuti is best known for his contribution to which genre of music?,easy,A,A. Afrobeat,B. Juju,C. Highlife,D. Fuji
Which Nollywood actress is known as the 'Julia Roberts of Africa'?,easy,A,A. Genevieve Nnaji,B. Omotola Jalade-Ekeinde,C. Mercy Johnson,D. Rita Dominic
Who was the first Nigerian military head of state?,medium,B,A. Yakubu Gowon,B. Aguiyi-Ironsi,C. Olusegun Obasanjo,D. Sani Abacha
What is the cultural significance of the Yoruba talking drum?,medium,C,A. War cries,B. Royalty greetings,C. Communication of messages,D. Religious rituals
Which Nigerian musician is famous for the song 'Dami Duro'?,easy,C,A. Burna Boy,B. Wizkid,C. Davido,D. Tiwa Savage
The Nigerian movie 'The Figurine' was directed by?,medium,A,A. Kunle Afolayan,B. Genevieve Nnaji,C. Jeta Amata,D. Tunde Kelani
What are the two main components of the central nervous system?,medium,A,A. Brain and spine,B. Brain and heart,C. Heart and lungs,D. Lungs and spine
Which historic artifact was taken from Nigeria to Britain and only recently returned?,hard,B,A. Terracotta sculptures,B. Benin Bronzes,C. Nok statues,D. Ife heads
Who played a significant role in amalgamating Nigeria in 1914?,hard,A,A. Lord Lugard,B. Herbert Macaulay,C. Nnamdi Azikiwe,D. Tafawa Balewa
What is the film 'Living in Bondage' known for in Nollywood history?,medium,B,A. First color film,B. First blockbuster,C. First international release,D. First digital film
In what year did Nigeria host the World Festival of Black Arts and Culture?,hard,B,A. 1966,B. 1977,C. 1981,D. 1992
Who was a prominent leader in the Nigerian independence movement?,medium,A,A. Abubakar Tafawa Balewa,B. Sani Abacha,C. Yakubu Gowon,D. Murtala Mohammed
Which Nigerian musician won a Grammy Award for Best Global Music Album?,easy,B,A. Tiwa Savage,B. Burna Boy,C. Wizkid,D. Davido
Which film director is credited with advancing the motion picture industry in Nigeria?,hard,D,A. Genevieve Nnaji,B. Tunde Kelani,C. Kunle Afolayan,D. Kenneth Nnebue
Which of these is an ancient Nigerian kingdom known for its art?,medium,C,A. Mali,B. Ghana,C. Ife,D. Zulu
Which Nollywood actress starred in the film 'Ije: The Journey'?,medium,C,A. Omotola Jalade-Ekeinde,B. Rita Dominic,C. Genevieve Nnaji,D. Mercy Johnson
What does the rib cage protect?,easy,B,A. Heart and abdomen,B. Lungs and heart,C. Brain and neck,D. Kidneys and spine
Who was Nigeria's first indigenous Governor-General?,medium,C,A. Obafemi Awolowo,B. Ahmadu Bello,C. Nnamdi Azikiwe,D. Tafawa Balewa
Which Nollywood actor became the governor of Delta State in 2015?,hard,C,A. Jim Iyke,B. Desmond Elliot,C. Richard Mofe-Damijo,D. Kanayo O. Kanayo
What is the name of the cylindrical stalk that connects the brain to the spinal cord?,medium,C,A. Cerebrum,B. Cerebellum,C. Brainstem,D. Cortex
The Yoruba are primarily located in which region of Nigeria?,easy,C,A. Northern,B. Southern,C. Western,D. Eastern
Which Nollywood film features themes of royalty and betrayal?,medium,C,A. Chief Daddy,B. The Figuirine,C. King of Boys,D. Half of a Yellow Sun
"What historic feature is located in Ile-Ife, Nigeria?",hard,B,A. Nok Artifacts,B. Ife Heads,C. Benin Bronzes,D. Oyo Palaces
Which layer of the skin lies beneath the epidermis?,medium,A,A. Dermis,B. Subcutaneous,C. Hypodermis,D. Epithelium
Who is Nigeria's first female playwright to have gained international fame?,hard,A,A. Zulu Sofola,B. Sefi Atta,C. Chimamanda Ngozi Adichie,D. Buchi Emecheta
Which Nigerian artist is famous for the song 'Ojuelegba'?,easy,A,A. Wizkid,B. Burna Boy,C. Kizz Daniel,D. Tiwa Savage
Which year was the Nigerian film 'Wedding Party' released?,medium,B,A. 2014,B. 2016,C. 2018,D. 2020
What vascular component is primarily responsible for transporting blood to the heart?,medium,B,A. Arteries,B. Veins,C. Capillaries,D. Ventricles
Which rapper born in Nigeria became notable internationally with 'Black Panther' soundtrack?,easy,B,A. MI Abaga,B. Burna Boy,C. Eva Alordiah,D. Jidenna
What historical city is known as the ancient trading and learning hub of Nigeria?,medium,D,A. Kano,B. Lagos,C. Ile-Ife,D. Kano
Which Nigerian film gained recognition as the first Netflix original from Nigeria?,easy,B,A. Chief Daddy,B. Lionheart,C. King of Boys,D. Merry Men
The Ijaw ethnic group is predominantly found in which part of Nigeria?,medium,B,A. North,B. South,C. East,D. West
"In human anatomy, what is the main function of the kidneys?",easy,B,A. Digest food,B. Filter blood,C. Produce hormones,D. Absorb nutrients
Which Nollywood movie is known for popularizing the phrase 'My dear Nollywood'? ,medium,A,A. Living in Bondage,B. Osuofia in London,C. Figurine,D. The Wedding Party
What is the most abundant protein in the human body?,easy,D,A. Actin,B. Keratin,C. Myosin,D. Collagen
Fela Kuti is famous for pioneering which genre of music?,easy,A,A. Afrobeat,B. Fuji,C. Highlife,D. Juju
What major commodity did Nigeria shift its economy to focus on in the 1970s?,medium,B,A. Cocoa,B. Oil,C. Coal,D. Rubber
Which Nigerian actress is fondly called 'Omosexy'?,easy,A,A. Omotola Jalade Ekeinde,B. Genevieve Nnaji,C. Funke Akindele,D. Mercy Johnson
Where is the human body's fibula bone located?,easy,B,A. Arm,B. Leg,C. Skull,D. Spine
Davido's famous song 'Fall' was released in which year?,medium,C,A. 2015,B. 2016,C. 2017,D. 2018
Which artist sang the hit song 'If'? ,easy,D,A. Wizkid,B. Burna Boy,C. Mr Eazi,D. Davido
Which Nigerian ethnic group is known for their bronze sculptures?,medium,D,A. Ijaw,B. Igbo,C. Yoruba,D. Benin
Who is known as the pioneer of modern Nollywood?,medium,B,A. Kunle Afolayan,B. Kenneth Nnebue,C. Zack Orji,D. Ramsey Nouah
The organ responsible for pumping blood throughout the body is known as?,easy,C,A. Liver,B. Brain,C. Heart,D. Lungs
What is Tuface Idibia's current stage name?,easy,A,A. 2Baba,B. 2King,C. KingBaba,D. Tubaba
Which kingdom was famous for its obas and rich culture in pre-colonial times?,medium,C,A. Oyo,B. Hausa,C. Benin,D. Kanem-Bornu
Which hit song was Stephan Keshi famous for?,easy,A,A. Professional footballer,B. Musician,C. Actor,D. Author
When was the amalgamation of the Northern and Southern protectorates in Nigeria?,hard,B,A. 1910,B. 1914,C. 1920,D. 1930
Which singer is called the 'African Giant'?,easy,C,A. Wizkid,B. Davido,C. Burna Boy,D. Mr Eazi
Which Nigerian leader declared the independence of Biafra?,medium,B,A. Yakubu Gowon,B. Odumegwu Ojukwu,C. Obafemi Awolowo,D. Nnamdi Azikiwe
Who starred as the lead actress in the movie 'Lionheart'?,easy,A,A. Genevieve Nnaji,B. Regina Daniels,C. Omotola Jalade,D. Mercy Johnson
What part of the human body is known as the 'voice box'?,medium,C,A. Lungs,B. Trachea,C. Larynx,D. Diaphragm
Wizkid's 'Made in Lagos' album was released in which year?,medium,B,A. 2019,B. 2020,C. 2021,D. 2022
Which ancient city was known for its advanced metallurgy and bronze work?,medium,C,A. Ibadan,B. Ile-Ife,C. Benin,D. Kano
The human digestive system starts with which part of the body?,easy,B,A. Stomach,B. Mouth,C. Esophagus,D. Intestines
Who is considered a leading filmmaker in Nigerian cinema with movies like 'October 1'?,easy,A,A. Kunle Afolayan,B. Genevieve Nnaji,C. Richard Mofe-Damijo,D. Ramsey Nouah
Which movie by Kunle Afolayan has a plot that involves characters switching BlackBerrys?,medium,A,A. Phone Swap,B. October 1,C. The Figurine,D. Figurine: Araromire
Kunle Afolayan is the son of which legendary filmmaker?,medium,B,A. Hubert Ogunde,B. Ade Love,C. Ola Balogun,D. Amaka Igwe
In which year did Silverbird Cinemas open Nigeria’s first modern cinema?,hard,B,A. 1999,B. 2004,C. 2010,D. 1985
Which corporate client is mentioned as hosting private screenings of Kunle Afolayan's films?,medium,B,A. MTN,B. Oando,C. Dangote Group,D. Jumia
Which of these films by Kunle Afolayan deals with the theme of cybercrime?,medium,A,A. The CEO,B. Roti,C. Figurine,D. Phone Swap
What is a significant source of financing for Kunle Afolayan's films apart from product placements?,medium,B,A. Foreign investors,B. Private screenings,C. Crowdfunding,D. Government grants
Kunle Afolayan has recently engaged in talks with which platform for the rights to 'October 1'?,easy,B,A. Amazon Prime,B. Netflix,C. Hulu,D. YouTube
Genesis Cinema currently operates in which Nigerian city?,easy,B,A. Abuja,B. Lagos,C. Port Harcourt,D. Kano
Which Nigerian artist is known for the hit song 'FEM'?,easy,C,A. Wizkid,B. Burna Boy,C. Davido,D. Tiwa Savage
Nigerian music star Burna Boy won a Grammy award for which album?,easy,B,A. African Giant,B. Twice as Tall,C. Outside,D. Ye
What is the main ingredient in a typical Nigerian jollof rice?,easy,C,A. Beans,B. Maize,C. Rice,D. Yam
Which historical kingdom was known for its artistry in bronze sculpture?,hard,B,A. Oyo,B. Benin,C. Sokoto,D. Ife
Fela Kuti is a legendary figure associated with which music genre?,medium,C,A. Juju,B. Afrobeats,C. Afrobeat,D. Highlife
Who directed the Nollywood film 'Wedding Party'?,medium,B,A. Niyi Akinmolayan,B. Kemi Adetiba,C. Kunle Afolayan,D. Ishaya Bako
What is the historical significance of the year 1960 in Nigeria?,medium,C,A. Civil War,B. Military Coup,C. Independence,D. First Republic
Which Nollywood film became Nigeria's first submission for the Oscars?,medium,C,A. 93 Days,B. The Bling Lagosians,C. Lionheart,D. King of Boys
Which famous Nigerian boxer was known as 'The Black Bombardier'?,hard,A,A. Dick Tiger,B. Hogan Bassey,C. Samuel Peter,D. Bash Ali
What is the nickname of Nigeria's national football team?,easy,A,A. Super Eagles,B. Green Warriors,C. Golden Lions,D. Flying Eagles
Which Nigerian city is famous for the Argungu Fishing Festival?,medium,C,A. Kano,B. Kaduna,C. Kebbi,D. Katsina
What part of the human body is responsible for producing insulin?,medium,B,A. Liver,B. Pancreas,C. Gallbladder,D. Kidney
Which element is most abundant in the human body?,hard,B,A. Carbon,B. Oxygen,C. Hydrogen,D. Nitrogen
What name is given to the collection of traditional Yoruba religion of Ifa?,hard,C,A. Babalawo,B. Ifa Divination,C. Odu Ifa,D. Oriki
Which movie is considered to have sparked the new era of modern Nollywood in the 1990s?,medium,A,A. Living in Bondage,B. Glamour Girls,C. Rattlesnake,D. Nneka the Pretty Serpent
Who is the author of the book 'Purple Hibiscus'?,medium,C,A. Buchi Emecheta,B. Flora Nwapa,C. Chimamanda Ngozi Adichie,D. Nnedi Okorafor
"In anatomy, what is the primary function of red blood cells?",easy,B,A. To clot blood,B. To carry oxygen,C. To fight infection,D. To produce energy
What historical event does the Nigerian public holiday 'Democracy Day' commemorate?,medium,A,A. June 12 Annulment,B. Independence,C. Civil War,D. First Republic
Which organ in the body is primarily responsible for filtering blood?,easy,C,A. Heart,B. Liver,C. Kidney,D. Lungs
Which mineral is essential for the formation of strong teeth and bones?,easy,B,A. Iron,B. Calcium,C. Potassium,D. Sodium
Which historic Nigerian city was once known as a center for Islamic scholarship?,medium,D,A. Ibadan,B. Sokoto,C. Katsina,D. Kano
Which Nigerian artist collaborated with Drake on the song 'One Dance'?,easy,B,A. Burna Boy,B. Wizkid,C. Davido,D. Olamide
What is the traditional cloth pattern that is often associated with Yoruba royalty?,medium,D,A. Kente,B. Batik,C. Adire,D. Aso Oke
"In human anatomy, which organ is known as the 'voice box'?",medium,B,A. Pharynx,B. Larynx,C. Trachea,D. Diaphragm
Which of these artists is known for the hit song 'Essence'?,easy,C,A. Burna Boy,B. Davido,C. Wizkid,D. Rema
Which historical figure is known for the unification of the Sokoto Caliphate?,hard,B,A. Sir Ahmadu Bello,B. Usman dan Fodio,C. Murtala Mohammed,D. Nnamdi Azikiwe
Which Nollywood movie is credited with reviving the comic duo 'Aki and Pawpaw'?,medium,B,A. Anini,B. Aki na Ukwa,C. Osuofia in London,D. Joromi
Which city is referred to as the cultural capital of Nigeria?,medium,A,A. Lagos,B. Abuja,C. Ibadan,D. Benin City
Which vitamin is important for maintaining healthy skin and vision?,medium,C,A. Vitamin C,B. Vitamin D,C. Vitamin A,D. Vitamin K
Which ancient Nigerian civilization was renowned for the production of beautiful terracotta sculptures?,hard,B,A. Ife,B. Nok,C. Benin,D. Oyo
What role did the Alaafin of Oyo play in pre-colonial Nigeria?,hard,C,A. Military strategist,B. Spiritual advisor,C. King and ruler,D. Trade negotiator
The Nigerian music genre 'Juju' is primarily performed with what type of instrument?,medium,C,A. Piano,B. Saxophone,C. Guitar,D. Talking drum
Which pioneer Nigerian musical group is best known for the hit song 'Sweet Mother'?,easy,C,A. King Sunny Ade,B. Sir Victor Uwaifo,C. Prince Nico Mbarga,D. Ebenezer Obey
When did the Biafran War take place in Nigeria?,medium,B,A. 1960-1963,B. 1967-1970,C. 1975-1978,D. 1980-1983
Which bone is the largest in the human body?,medium,C,A. Humerus,B. Tibia,C. Femur,D. Skull
Name the Nollywood actress who is the youngest recipient of the AMAA Best Actress in a Leading Role award.,hard,D,A. Chika Ike,B. Mercy Johnson,C. Dakore Egbuson,D. Ini Edo
Which Nigerian cultural festival is famous for its dance performances and masquerades?,medium,B,A. Argungu Festival,B. Eyo Festival,C. Osun Festival,D. Durbar Festival
Which function does the spleen serve in the human body?,hard,A,A. Blood filtration,B. Producing insulin,C. Breaking down fats,D. Hormone regulation
Which Nigerian novel was adapted into a critically acclaimed film by director Biyi Bandele?,medium,B,A. The Famished Road,B. Half of a Yellow Sun,C. Things Fall Apart,D. Purple Hibiscus
Which famous Nigerian musician is known as 'The King of Highlife'?,medium,C,A. Ebenezer Obey,B. Oliver De Coque,C. Osita Osadebe,D. Sir Victor Uwaifo
Who is hailed as the first African Nobel Laureate in Literature?,easy,B,A. Chinua Achebe,B. Wole Soyinka,C. Ngũgĩ wa Thiong'o,D. Leopold Senghor
"Which famous Nigerian fashion designer is known for their luxury label, Tiffany Amber?",hard,B,A. Deola Sagoe,B. Folake Coker,C. Lisa Folawiyo,D. Mai Atafo
Which Nollywood actor is known for his roles in action-packed films?,medium,B,A. Desmond Elliot,B. Jim Iyke,C. Kenneth Okonkwo,D. Yul Edochie
What is the main function of the hormone insulin in the human body?,medium,A,A. Regulate blood sugar,B. Increase energy,C. Aid digestion,D. Build muscle
Which Fulani leader founded the Sokoto Caliphate in the 19th century?,medium,B,A. Nana Asma'u,B. Usman dan Fodio,C. Ahmadu Bello,D. Sir Abubakar Tafawa Balewa
"In Nigerian history, who became the first Indigenous Governor-General in 1960?",medium,A,A. Nnamdi Azikiwe,B. Tafawa Balewa,C. Ahmadu Bello,D. Obafemi Awolowo
Which Nigerian playwright wrote the play 'Death and the King's Horseman'?,medium,A,A. Wole Soyinka,B. Ola Rotimi,C. Femi Osofisan,D. Zulu Sofola
Which Nollywood director is known for movies like '75' and 'Last Flight to Abuja'?,medium,D,A. Kunle Afolayan,B. Tunde Kelani,C. Emem Isong,D. Obi Emelonye
Which popular Nollywood actor played the lead role in the movie 'Living in Bondage'?,hard,C,A. Kanayo O. Kanayo,B. Richard Mofe-Damijo,C. Kenneth Okonkwo,D. Ramsey Nouah
Which Nigerian monarch played a significant role in the resistance against British colonial rule?,hard,A,A. Oba Ovonramwen,B. Sarki Alimi,C. Oba Akenzua,D. Oba Esigie
Which Nigerian musician popularized the Afrobeat genre worldwide?,easy,D,A. Femi Kuti,B. Tony Allen,C. Lagbaja,D. Fela Kuti
Which region of Nigeria was associated with the Biafran movement?,medium,C,A. North West,B. South South,C. South East,D. South West
Who was the first female dramatist in Nigeria?,hard,A,A. Zulu Sofola,B. Femi Osofisan,C. Tess Onwueme,D. Stella 'Dia Oyedepo
What is the Yoruba term for traditional priests and diviners?,medium,B,A. Babatunde,B. Babalawo,C. Eledumare,D. Olodumare
Who was the Nigerian matriarch known for leadership in the Aba Women's Riot?,hard,C,A. Queen Amina,B. Margaret Ekpo,C. Olufunmilayo Ransome-Kuti,D. Funmilayo Anikulapo-Kuti
In which state is Nigeria's largest cocoa farm located?,hard,A,A. Ondo,B. Cross River,C. Ogun,D. Ekiti
What was the main medium of trade between Northern Nigeria and the Middle East historically?,hard,B,A. Sea trade,B. Desert caravans,C. River transport,D. Aerial routes
Which traditional Nigerian music is known for its polyrhythmic drumming and Yoruba chants?,medium,B,A. Apala,B. Fuji,C. Juju,D. Highlife
What is the study of the human heart called?,medium,B,A. Neurology,B. Cardiology,C. Urology,D. Endocrinology
Which Nigerian city is a major center for petroleum production?,easy,C,A. Sokoto,B. Lagos,C. Port Harcourt,D. Kaduna
Which cultural dance is performed by the Igbo people during important ceremonies?,medium,D,A. Bata,B. Ekombi,C. Gelede,D. Atilogwu
Who was the first President of Nigeria after it became a republic?,medium,A,A. Nnamdi Azikiwe,B. Olusegun Obasanjo,C. Yakubu Gowon,D. Goodluck Jonathan
Which Nigerian musician was featured in Beyoncé's album 'The Lion King: The Gift'?,easy,D,A. Tiwa Savage,B. Yemi Alade,C. Wizkid,D. Burna Boy
In which region was the ancient Kingdom of Nri located?,medium,B,A. South West Nigeria,B. South East Nigeria,C. North Central Nigeria,D. South South Nigeria
Which organ in the body is primarily responsible for blood clotting?,hard,A,A. Liver,B. Heart,C. Spleen,D. Pancreas
Which historical event involved prominent women leaders protesting colonial taxation in 1929?,medium,A,A. Aba Women's Riot,B. Egba Women's Uprising,C. Lagos Market Protests,D. Onitsha Women's Rebellion
What is the popular Nigerian dish made with fermented locust beans and spices?,medium,C,A. Egusi,B. Okra Soup,C. Ogbono,D. Oha Soup
Which Nigerian lot is known as the heartbeat of the nation due to its significance?,medium,C,A. Lekki,B. Abuja,C. Benin,D. Enugu
Who was the first Nigerian Head of State in the first republic?,medium,B,A. Yakubu Gowon,B. Nnamdi Azikiwe,C. Olusegun Obasanjo,D. Muhammadu Buhari
Which body of water lies to the south of Nigeria?,easy,C,A. Mediterranean Sea,B. Indian Ocean,C. Atlantic Ocean,D. Red Sea
"What is the length of the Olumo Rock, a popular tourist destination in Nigeria?",hard,A,A. 137 meters,B. 159 meters,C. 50 meters,D. 100 meters
Which famous Nigerian singer is known for the hit song 'Fall'?,easy,C,A. Wizkid,B. Burna Boy,C. Davido,D. Runtown
Which popular Nigerian comedian is often referred to as the 'King of Comedy'?,medium,D,A. Bovi,B. Basketmouth,C. AY Makun,D. Ali Baba
What is the term for the traditional council of elders in Igbo culture?,hard,B,A. Ohanaeze,B. Nze na Ozo,C. Umuada,D. Mbari
Which Nigerian soccer player is known as the 'Mathematical'?,hard,C,A. Nwankwo Kanu,B. Jay-Jay Okocha,C. Teslim Balogun,D. Rashidi Yekini
Which part of the human body eliminates toxins and waste products?,medium,D,A. Liver,B. Skin,C. Lungs,D. Kidneys
What Nigerian festival showcases the water goddess and is held in Osun State?,easy,A,A. Osun-Osogbo Festival,B. Eyo Festival,C. Argungu Fishing Festival,D. Egungun Festival
What is the traditional dish made of pounded cassava or yams and often served with soup?,easy,C,A. Eba,B. Amala,C. Pounded yam,D. Moi Moi
Which Nigerian author wrote the acclaimed book 'The Fishermen'?,hard,B,A. Chinua Achebe,B. Chigozie Obioma,C. Ben Okri,D. Chimamanda Ngozi Adichie
Which Nigerian tribe is primarily found in the northern part of the country?,easy,C,A. Igbo,B. Yoruba,C. Hausa,D. Edo
Who was the first Secretary-General of the Commonwealth from Africa?,medium,B,A. Joseph Garba,B. Emeka Anyaoku,C. Toyin Falola,D. Bolaji Akinyemi
Which vitamin is crucial for blood clotting in the human body?,medium,D,A. Vitamin A,B. Vitamin E,C. Vitamin C,D. Vitamin K
Which Nigerian state is known for producing the most cassava?,hard,C,A. Ogun,B. Benue,C. Kogi,D. Edo
Which traditional Nigerian festival involves masquerades and takes place in Lagos?,medium,A,A. Eyo Festival,B. Durbar Festival,C. Argungu Festival,D. Osun Festival
Which important Nigerian political figure is known for the slogan 'One Nigeria'?,medium,A,A. Yakubu Gowon,B. Nnamdi Azikiwe,C. Olusegun Obasanjo,D. Goodluck Jonathan
Which ancient Nigerian city was famous for its terracotta warriors?,hard,C,A. Ife,B. Sokoto,C. Nok,D. Idanre
In what year was the Nigerian Independence granted by Britain?,easy,B,A. 1950,B. 1960,C. 1970,D. 1980
What is an essential nutrient found in large quantities in palm oil?,medium,A,A. Vitamin A,B. Vitamin D,C. Vitamin E,D. Vitamin K
Which Nigerian holiday commemorates the Military's handover to a civilian government in 1999?,medium,C,A. Independence Day,B. Children's Day,C. Democracy Day,D. May Day
Which Nigerian movie is often recognized as marking the beginning of Nollywood?,easy,A,A. Living in Bondage,B. Abuja Connection,C. RattleSnake,D. Sango
Which Nigerian musician is known for tracks such as 'Ojuelegba' and 'Mood'?,easy,B,A. Burna Boy,B. Wizkid,C. Davido,D. Olamide
What is the historical significance of the Aro Confederacy in Nigeria?,hard,B,A. A military alliance,B. A trade network,C. A political union,D. A religious movement
Which element is most involved in the process of blood clotting?,medium,A,A. Calcium,B. Potassium,C. Magnesium,D. Phosphorus
Which body part contains the vocal cords?,medium,B,A. Trachea,B. Larynx,C. Pharynx,D. Esophagus
Which Nigerian literary work examines the Biafran War?,medium,B,A. The Man Died,B. Half of a Yellow Sun,C. Things Fall Apart,D. The Famished Road
Which actress starred in the movie 'Merry Men'?,medium,D,A. Rachael Oniga,B. Rita Dominic,C. Rosy Meurer,D. Osas Ighodaro
Which plant is commonly used to make Ewedu soup?,medium,B,A. Spinach,B. Jute leaves,C. Kale,D. Okra
What major river flows through Northern Nigeria?,easy,A,A. Niger River,B. Benue River,C. Kaduna River,D. Gongola River
Which Nigerian state is known for producing a significant amount of crude oil?,medium,C,A. Kano,B. Enugu,C. Rivers,D. Nasarawa
Which Nigerian musician is known as the 'Goldfish' for his prodigious talent?,medium,A,A. 2Baba,B. D'banj,C. Yemi Alade,D. Flavour
What traditional musical instrument is commonly associated with Igbo music?,medium,C,A. Xylophone,B. Ududu,C. Udu,D. Shekere
What organ is primarily involved in digestion and absorption of nutrients?,easy,C,A. Liver,B. Stomach,C. Small intestine,D. Large intestine
Which traditional attire is commonly worn by Yoruba men?,medium,C,A. Isiagu,B. Dashiki,C. Buba,D. Kaftan
What scandal led to the execution of Nigerian journalist Dele Giwa?,hard,C,A. Dual Nationality,B. Oil Block Allocation,C. Letter Bomb Incident,D. 419 Scam
Which part of the body is identified as the body's largest endocrine gland?,medium,B,A. Pituitary gland,B. Thyroid gland,C. Adrenal gland,D. Pancreas
What traditional cooking method is used for Nigerian Suya?,easy,B,A. Boiling,B. Grilling,C. Frying,D. Baking
Which Nigerian author has written notable works like 'Americanah'?,easy,A,A. Chimamanda Ngozi Adichie,B. Chinua Achebe,C. Sefi Atta,D. Buchi Emecheta
What historical figure unified the Sokoto Caliphate and expanded its reach?,medium,B,A. Nana Asma'u,B. Usman dan Fodio,C. Muhammad Bello,D. Ahmad Tijani
Which Nigerian city hosted the legendary FESTAC event in 1977?,medium,B,A. Abuja,B. Lagos,C. Ibadan,D. Enugu
Who was the first Nigerian Miss World?,easy,A,A. Agbani Darego,B. Bianca Onoh,C. Munachi Abii,D. Omowunmi Akinnifesi
What is a traditional Nigerian festival that celebrates the new yam harvest?,easy,B,A. Durbar Festival,B. New Yam Festival,C. Eyo Festival,D. Argungu Festival
Which Nigerian artist is popularly known for the hit song 'Case'?,easy,C,A. Simi,B. Yemi Alade,C. Teni,D. Niniola
Which plant is used to produce Nigerian Ogbono soup?,medium,B,A. Mango,B. Bush mango,C. Bitter leaf,D. Spinach
In which body system would you find alveoli?,medium,C,A. Circulatory system,B. Digestive system,C. Respiratory system,D. Nervous system
What is the predominant religion in Northern Nigeria?,easy,B,A. Christianity,B. Islam,C. Hinduism,D. Buddhism
Which cultural practice is significant among the Hausa people?,medium,D,A. Circumcision,B. Scarification,C. Giddi festival,D. Durbar Festival
Which Nigerian playwright wrote 'The Lion and the Jewel'?,medium,C,A. Ola Rotimi,B. Zulu Sofola,C. Wole Soyinka,D. Femi Osofisan
Which Nigerian artist won the 2018 BET Awards for Best International Act?,easy,A,A. Davido,B. Wizkid,C. Burna Boy,D. Kiss Daniel
Which traditional festival is held in Lagos to honor the deity Eyo?,easy,A,A. Eyo Festival,B. Igbo Ukwu Festival,C. Osun Festival,D. Argungu Festival
What is the main theme of the novel 'Purple Hibiscus' by Chimamanda Ngozi Adichie?,medium,B,A. Colonialism,B. Family dynamics,C. Political corruption,D. Identity crisis
Which Nigerian artist is known for the hit track 'Joromi'?,easy,A,A. Simi,B. Teni,C. Tiwa Savage,D. Niniola
Which Nigerian footballer is known for their exceptional performance in the English Premier League?,medium,D,A. Jay-Jay Okocha,B. Nwankwo Kanu,C. Victor Moses,D. Mikel Obi
What is the connective tissue that connects a muscle to a bone?,medium,B,A. Ligament,B. Tendon,C. Fascia,D. Cartilage
