Question,Difficulty,Correct Answer,Option 1,Option 2,Option 3,Option 4
Which organ is primarily responsible for detoxifying chemicals and metabolizing drugs?,medium,A,Liver,Kidney,Heart,Lungs
Fill in the blank: 'The _______ of Lagos' is a popular tourist destination for its beaches.,easy,A,Island,Coast,Peninsula,Harbour
What is the primary function of red blood cells?,easy,B,Fight infections,Transport oxygen,Clotting blood,Regulate temperature
Which Nigerian actress is known for her role in 'The Figurine'?,medium,C,Omotola Jalade-Ekeinde,Rita Dominic,Genevieve Nnaji,Desmond Elliot
The brain is divided into how many main sections?,medium,B,2,3,4,5
Who was the first President of Nigeria?,hard,A,Nnamdi Azikiwe,Umaru Musa Yar'Adua,Olusegun Obasanjo,Muhammadu Buhari
Fill in the blank: 'The _______ is a vital organ that helps in breathing.',easy,B,heart,lung,kidney,liver
Which Nigerian singer is known for the song 'Joro'?,medium,A,Wizkid,Olamide,Tiwa Savage,Patoranking
Nigeria's capital was moved from Lagos to _______ in 1991.,medium,A,Abuja,Port Harcourt,Kaduna,Enugu
The small intestine is responsible for most of the _______ of nutrients.,medium,A,absorption,digestion,filtration,transport
Which Nigerian director is known for the film 'October 1'?,medium,A,Kunle Afolayan,Izu Ojukwu,Tunde Kilani,Niyi Akinmolayan
The primary function of the kidneys is to _______ waste from the body.,easy,B,store,filter,produce,absorb
Which Nigerian state is known as the 'Home of Hospitality'?,medium,D,Rivers,Enugu,Oyo,Akwa Ibom
What is the largest muscle in the human body?,medium,C,Biceps,Quadriceps,Gluteus Maximus,Pectoralis Major
Which Nigerian film won the Best International Feature Film at the 2020 Oscars?,hard,A,Lionheart,The Wedding Party,Living in Bondage,Figurine
The human respiratory system is primarily responsible for _______ exchange.,easy,B,nutrient,gas,waste,blood
In what year did Nigeria's civil war begin?,medium,B,1966,1967,1969,1970
________ is the organ responsible for filtering blood and producing urine.,medium,B,Heart,Kidney,Liver,Lung
Which Nigerian artist is famous for the hit 'Ye'?,medium,B,Wizkid,Burna Boy,Davido,Flavour
The major artery that carries blood from the heart to the body is called _______.,easy,A,aorta,vena cava,pulmonary artery,carotid artery
Which notable event occurred in Nigeria in 1960?,hard,B,Civil War,Independence,Military Coup,Republic Formation
The human body is composed of approximately _______% water.,medium,C,30,50,60,70
Which Nigerian singer is known for the song 'Dumebi'?,medium,A,Rema,Olamide,Niniola,Tiwa Savage
The digestive system works primarily to break down _______.,easy,B,oxygen,food,water,blood
Who was the leader of the Nigerian military government from 1985 to 1993?,hard,A,Ibrahim Babangida,Sani Abacha,Olusegun Obasanjo,Mohammed Buhari
"In the human body, muscles are primarily composed of _______.",medium,C,nerves,cells,tissues,ligaments
Which Nigerian film features the character 'Mimi' played by Adesua Etomi?,medium,A,The Wedding Party,The Figurine,Muna,Fifty
The central nervous system consists of the brain and _______.,easy,A,spinal cord,nerves,muscles,bones
Which state is known as the 'Treasure Base of the Nation'?,medium,A,Rivers,Lagos,Kano,Abuja
The human body has how many pairs of ribs?,medium,A,12,10,14,16
Which Nigerian rapper is known for the hit 'Omo Alhaji'?,medium,B,Olamide,Phyno,M.I Abaga,Ice Prince
The liver is involved in _______ metabolism.,medium,D,carbohydrate,fat,protein,all of the above
Who was the first female governor of a state in Nigeria?,hard,B,Ngozi Okonjo-Iweala,Virginia Etiaba,Amina Mohammed,Bola Ahmed Tinubu
The primary role of platelets in the body is to _______ blood.,easy,B,oxygenate,clot,filter,transport
Which Nigerian actor is known for his role in 'Living in Bondage'?,medium,A,Kenneth Okonkwo,Nkem Owoh,Chinedu Ikedieze,Osita Iheme
The longest bone in the human body is the _______.,easy,B,Humerus,Femur,Tibia,Fibula
Fill in the blank: The _______ is a major ethnic group in Nigeria known for their rich cultural heritage.,medium,A,Yoruba,Hausa,Igbo,Fulani
Which Nigerian artist is known for the song 'Ye'?,easy,B,Wizkid,Burna Boy,Davido,Olamide
The small intestine is primarily responsible for _______.,easy,B,Digestion,Absorption,Filtration,Excretion
Which significant event in Nigerian history occurred in 1975?,hard,C,Civil War,First Military Coup,Second Military Coup,Independence Day
Name the Nigerian movie that won the Best International Feature Film at the Academy Awards in 2020.,hard,A,Lionheart,The Wedding Party,Living in Bondage,The Figurine
The brain's outer layer is known as the _______.,medium,A,Cortex,Medulla,Cerebellum,Thalamus
Which Nigerian city is known as the 'Centre of Excellence'?,easy,A,Lagos,Abuja,Ibadan,Port Harcourt
"The famous Nigerian movie star, known for her role in 'The Figurine', is _______.",medium,A,Genevieve Nnaji,Omotola Jalade-Ekeinde,Rita Dominic,Funke Akindele
The primary function of red blood cells is to _______.,easy,B,Fight infections,Transport oxygen,Clot blood,Regulate temperature
What was the original name of Nigeria before it was renamed?,hard,A,Niger Area,Niger Republic,Gold Coast,Benin
Who directed the popular Nigerian film 'The Wedding Party'?,medium,A,Kemi Adetiba,Izu Ojukwu,Kunle Afolayan,Tunde Kilani
The human skeleton is made up of how many bones in adulthood?,easy,A,206,150,250,300
Who was Nigeria's first military ruler after independence?,hard,D,Yakubu Gowon,Ibrahim Babangida,Muhammadu Buhari,Johnson Aguiyi-Ironsi
Which Nigerian singer is known for the hit song 'Joro'?,medium,B,Davido,Wizkid,Burna Boy,Tiwa Savage
The heart is divided into how many chambers?,easy,A,Four,Three,Two,Five
What year did the Nigerian Civil War end?,medium,A,1970,1969,1975,1968
Which actress starred in the movie 'Lionheart' alongside Genevieve Nnaji?,medium,B,Rita Dominic,Kate Henshaw,Ini Edo,Omotola Jalade-Ekeinde
"In terms of size, the _______ is the smallest bone in the human body.",hard,A,Stapes,Scaphoid,Phalanges,Carpals
The Nigerian flag features how many colors?,easy,B,Two,Three,Four,Five
Which Nigerian artist gained international fame with the song 'If'?,medium,C,Olamide,Wizkid,Davido,Burna Boy
The primary function of the lungs is to _______.,easy,B,Produce blood,Exchange gases,Filter toxins,Regulate temperature
In which year did Nigeria's military junta return to civilian rule?,medium,A,1999,1993,2000,1995
Which Nigerian comedian is known for his motto 'Make una no vex'?,medium,C,Bovi,AY,Alibaba,Funnybone
Which Nigerian city was the capital before Abuja?,medium,A,Lagos,Ibadan,Benin City,Kaduna
Who is the lead vocalist of the Nigerian band P-Square?,medium,A,Peter Okoye,Paul Okoye,Darey Art Alade,Timi Dakolo
The body part responsible for balance is the _______.,easy,A,Ears,Eyes,Brain,Nose
Who was the first Nigerian woman to win the Nobel Prize in Literature?,hard,A,Wole Soyinka,Chimamanda Ngozi Adichie,Buchi Emecheta,Nadine Gordimer
Which Nigerian singer is also known as 'Omo Baba Olowo'?,medium,B,Wizkid,Davido,Olamide,Flavour
The _______ is the part of the brain responsible for regulating emotions.,medium,C,Cerebrum,Cerebellum,Hypothalamus,Thalamus
When did Nigeria officially become a British protectorate?,hard,C,1900,1890,1914,1920
Who is regarded as the queen of Afrobeat?,medium,A,Tiwa Savage,Yemi Alade,Simi,Niniola
The main function of the kidneys is to _______.,easy,A,Filter blood,Circulate oxygen,Digest food,Produce hormones
Which year marked the beginning of the Nigerian Civil War?,hard,A,1967,1966,1965,1968
Who played the lead role in the Yoruba movie 'Iya Alakara'?,medium,D,Bimbo Akintola,Fathia Balogun,Bola Ogunbiyi,Sola Sobowale
The average adult human has how many teeth?,easy,A,32,28,30,26
Which Nigerian leader was overthrown in the military coup of 1983?,medium,A,Shehu Shagari,Muhammadu Buhari,Olusegun Obasanjo,Ibrahim Babangida
Which Nigerian musician is known for the phrase 'Shaku Shaku'?,medium,A,Naira Marley,Olamide,Wizkid,Davido
The largest part of the human brain is the _______.,easy,B,Cerebellum,Cerebrum,Brainstem,Thalamus
What is the capital city of Nigeria?,easy,B,Lagos,Abuja,Port Harcourt,Enugu
Which Nigerian actress starred in the film 'The Set Up'?,medium,A,Adesua Etomi,Rita Dominic,Genevieve Nnaji,Omotola Jalade-Ekeinde
The smallest bone in the human body is the _______.,easy,B,Femus,Stapes,Tibia,Humerus
In what year was Nigeria's civil war declared over?,medium,A,1970,1967,1975,1981
Fill in the blank: The _______ was a prominent figure in the Nigerian independence movement.,medium,A,Nnamdi Azikiwe,Wole Soyinka,Obafemi Awolowo,Ahmadu Bello
Which Nigerian actress starred in the movie 'Lionheart'?,medium,A,Genevieve Nnaji,Omotola Jalade-Ekeinde,Rita Dominic,Funke Akindele
The human body's largest muscle is the _______.,medium,C,Biceps,Quadriceps,Gluteus Maximus,Deltoid
Who was Nigeria's first military head of state?,medium,A,Yakubu Gowon,Murtala Mohammed,Muhammadu Buhari,Sani Abacha
Which city is known as the center of commerce in Nigeria?,easy,B,Abuja,Lagos,Port Harcourt,Ibadan
"In the human body, the _______ is responsible for the production of insulin.",medium,B,Liver,Pancreas,Kidney,Heart
"Who is the founder of the Nigerian film industry, also known as Nollywood?",hard,B,Tunde Kelani,Kenneth Nnebue,Pete Edochie,Zeb Ejiro
Which Nigerian singer is known for the song 'Juju Music'?,medium,A,King Sunny Ade,Fela Kuti,Tuface Idibia,Wizkid
The _______ system in the human body is responsible for protecting against disease.,medium,C,Digestive,Nervous,Immune,Respiratory
Who was the first woman to win the Nobel Prize for Literature?,hard,B,Buchi Emecheta,Wole Soyinka,Toni Morrison,Nadine Gordimer
Fill in the blank: Fela Kuti is known for pioneering _______ music.,medium,D,Afrobeats,Jazz,Highlife,Afrobeat
The human brain is part of which body system?,easy,B,Circulatory,Nervous,Digestive,Endocrine
In which year did Nigeria's Boko Haram insurgency begin?,medium,A,2009,2012,2014,2007
Who wrote the famous novel 'Things Fall Apart'?,medium,A,Chinua Achebe,Ngugi wa Thiong'o,Wole Soyinka,Buchi Emecheta
The _______ is the organ responsible for pumping blood throughout the body.,easy,C,Liver,Lungs,Heart,Kidneys
Which Nigerian artist is known for the hit song 'Ojuelegba'?,medium,B,Olamide,Wizkid,Davido,Tiwa Savage
In which city was Nigeria's first oil well drilled?,hard,B,Lagos,Port Harcourt,Abuja,Warri
What is the main function of red blood cells?,easy,B,Fight infection,Transport oxygen,Clot blood,Regulate temperature
Which Nigerian film won the first-ever Oscar nomination for Best International Feature Film?,hard,A,Lionheart,The Wedding Party,Half of a Yellow Sun,The Figurine
The _______ is the largest artery in the human body.,medium,A,Aorta,Pulmonary,Coronary,Femoral
Who was the first elected president of Nigeria?,medium,B,Umaru Musa Yar'Adua,Olusegun Obasanjo,Goodluck Jonathan,Mohammadu Buhari
Which Nigerian singer is often referred to as 'The African Giant'?,medium,A,Burna Boy,Davido,Olamide,Wizkid
The _______ is the part of the human eye that controls the amount of light entering it.,easy,C,Lens,Cornea,Iris,Retina
In what year did Nigeria's first military coup take place?,medium,A,1966,1970,1983,1993
Which of the following is a popular Nigerian dance style?,medium,B,Salsa,Azonto,Ballet,Tango
The _______ is the largest part of the human brain.,medium,C,Cerebellum,Brainstem,Cerebrum,Thalamus
Who was the first female governor in Nigeria?,hard,C,Ngozi Okonjo-Iweala,Oluremi Tinubu,Virginia Etiaba,Amina Mohammed
Fill in the blank: The _______ is a traditional Nigerian musical instrument made from a gourd.,medium,B,Djembe,Shekere,Talking Drum,Kora
Which organ in the human body is primarily responsible for detoxification?,medium,B,Kidneys,Liver,Lungs,Heart
Who was Nigeria's first female minister?,hard,A,Margaret Ekpo,Maryam Babangida,Amina Mohammed,Ngozi Okonjo-Iweala
The primary function of the _______ in the human body is gas exchange.,easy,A,Lungs,Heart,Kidneys,Liver
Which Nigerian artist is known for the song 'Dumebi'?,medium,A,Rema,Burna Boy,Davido,Olamide
The _______ is the part of the brain responsible for coordination and balance.,medium,B,Cerebrum,Cerebellum,Thalamus,Brainstem
Which Nigerian film director is known for his work in Nollywood and won an award at the Cannes Film Festival?,hard,B,Kunle Afolayan,Jeta Amata,Izu Ojukwu,Tunde Kelani
Fill in the blank: The _______ is the smallest unit of life in the human body.,easy,C,Tissue,Organ,Cell,System
Who was the leader of Nigeria during the oil boom of the 1970s?,medium,C,Umaru Musa Yar'Adua,Olusegun Obasanjo,Yakubu Gowon,Muhammadu Buhari
Which popular Nigerian dance is associated with the song 'Shaku Shaku'?,medium,B,Azonto,Zanku,Skelewu,Gwara Gwara
The _______ is the structure in the human body that connects muscles to bones.,medium,A,Tendon,Ligament,Cartilage,Joint
Which Nigerian military ruler was in power from 1983 to 1985?,medium,C,Ibrahim Babangida,Sani Abacha,Muhammadu Buhari,Olusegun Obasanjo
Who is known as the 'Queen of Afrobeats' in Nigeria?,medium,B,Yemi Alade,Tiwa Savage,Simi,Waje
"In human anatomy, the _______ system regulates body functions through hormones.",medium,B,Nervous,Endocrine,Digestive,Muscular
What is the main religion in Nigeria?,easy,B,Hinduism,Christianity,Islam,Buddhism
Which artist is known for the song 'Soco'?,medium,A,Wizkid,Mr Eazi,Burna Boy,Olamide
In which year was the Nigerian Civil War officially declared over?,medium,A,1970,1967,1975,1980
Fill in the blank: The _______ is a well-known Nigerian movie industry based in Lagos.,easy,A,Nollywood,Bollywood,Hollywood,Kannywood
Which organ is primarily responsible for detoxifying chemicals and metabolizing drugs in the human body?,medium,B,Kidney,Liver,Pancreas,Spleen
The first Nigerian to win the Nobel Prize in Literature was _______.,hard,B,Chinua Achebe,Wole Soyinka,Ben Okri,Niyi Osundare
"Known for his unique style, which Nigerian artist painted the 'Dancing Girl'?",hard,B,El Anatsui,Ben Enwonwu,Yinka Shonibare,Adebayo Bolaji
What is the primary function of red blood cells in the human body?,easy,B,To fight infections,To carry oxygen,To produce hormones,To regulate temperature
Which historical event is commemorated on Nigeria's Independence Day?,medium,A,The end of colonial rule,The beginning of the Civil War,The discovery of oil,The establishment of democracy
Fill in the blank: The popular Nigerian television series 'Tinsel' is set in the _______ industry.,easy,C,Music,Fashion,Film,Agriculture
What type of joint is found in the shoulder and allows for a wide range of motion?,medium,A,Ball and socket,Hinge,Pivot,Saddle
Who was the first military ruler of Nigeria after independence?,hard,D,Yakubu Gowon,Muhammadu Buhari,Julius Nyerere,Aguiyi-Ironsi
The muscle that separates the chest cavity from the abdominal cavity is called the _______.,medium,A,Diaphragm,Pectoralis,Rectus abdominis,Latissimus dorsi
When did Nigeria become a republic?,medium,A,1963,1979,1989,1999
Fill in the blank: The Nollywood actress who starred in 'The Wedding Party' is _______.,easy,C,Funke Akindele,Rita Dominic,Adesua Etomi,Genevieve Nnaji
Which part of the human brain is responsible for regulating balance and coordination?,medium,C,Cerebrum,Brainstem,Cerebellum,Thalamus
"What significant event took place on July 29, 1966, in Nigeria?",hard,A,First military coup,Independence Day,Civil War,Formation of political parties
Which Nigerian film won the award for Best International Feature Film at the 2021 Oscars?,hard,B,The Wedding Party,Lionheart,Fifty,Ije
Fill in the blank: The _______ is the part of the human eye that controls the size of the pupil.,easy,C,Cornea,Lens,Iris,Retina
Which Nigerian political leader was known for the phrase 'To keep Nigeria one is a task that must be done'?,medium,D,Nnamdi Azikiwe,Muhammadu Buhari,Obafemi Awolowo,Yakubu Gowon
Who is the Nigerian artist behind the hit song 'Ye'?,easy,B,Wizkid,Burna Boy,Davido,Olamide
What is the primary role of the respiratory system in the human body?,easy,C,To transport nutrients,To circulate blood,To exchange gases,To produce hormones
Which event marked the beginning of Nigeria's struggle for independence?,medium,B,World War II,Formation of political parties,First military coup,The 1954 constitutional conference
Fill in the blank: The popular Nigerian comedian known as 'AY' is _______.,medium,B,Ali Baba,Ayodeji Makun,Bovi Ugboma,Chiwetalu Agu
Which system in the human body is responsible for producing hormones?,medium,B,Nervous system,Endocrine system,Digestive system,Circulatory system
The Aburi Accord was an attempt to resolve tensions during which Nigerian conflict?,hard,A,Civil War,Oil Crisis,Independence Movement,Military Coup
Which Nigerian actor is well-known for his role in the movie 'Living in Bondage'?,hard,B,Pete Edochie,Kanayo O. Kanayo,Richard Mofe-Damijo,Chiwetalu Agu
The human body's largest artery is the _______.,easy,B,Pulmonary artery,Aorta,Coronary artery,Femoral artery
In what year did Nigeria's first republic collapse?,medium,B,1963,1966,1979,1983
Fill in the blank: The Nigerian singer whose real name is Daniel Oluwatobi Anidugbe is known as _______.,medium,B,Wizkid,Kizz Daniel,Olamide,Davido
The primary function of the kidneys is to _______.,easy,B,Produce insulin,Filter blood,Digest food,Regulate body temperature
Who was the last British Governor-General of Nigeria?,hard,C,Sir James Wilson,Sir John Macpherson,Sir Frederick Lugard,Sir Arthur Richards
Which Nigerian actress gained international fame for her role in 'The Black Panther'?,hard,B,Genevieve Nnaji,Danai Gurira,Omotola Jalade-Ekeinde,Funke Akindele
Which part of the human body contains the heart and lungs?,easy,B,Abdomen,Thoracic cavity,Cranial cavity,Pelvic cavity
What was the main cause of the Nigerian Civil War?,hard,B,Economic instability,Ethnic tensions,Political corruption,Colonial legacy
Fill in the blank: The famous Nigerian musician who founded the group 'Plantashun Boiz' is _______.,medium,A,2Baba,Wande Coal,Blackface,Oritsefemi
What is the main function of the central nervous system?,medium,B,To digest food,To control voluntary actions,To filter blood,To produce hormones
What significant document was adopted in Nigeria in 1999?,medium,C,The first constitution,The 1979 constitution,The 1999 constitution,The independence treaty
Fill in the blank: The Nigerian artist known for his fusion of Afrobeats and reggae is _______.,medium,B,Wizkid,Burna Boy,Davido,Flavour
The human body has _______ pairs of ribs.,easy,B,10,12,14,16
In which year did Nigeria's military regime transition to democratic rule?,medium,A,1999,2000,1995,1993
Which actress is known for her role as 'Jumoke' in the movie 'The Wedding Party'?,easy,A,Adesua Etomi,Funke Akindele,Genevieve Nnaji,Omotola Jalade-Ekeinde
What is the main function of the immune system in the human body?,easy,B,To produce energy,To defend against diseases,To regulate temperature,To digest food
Which Nigerian leader is known for the 'Five-Point Agenda' during his presidency?,hard,C,Olusegun Obasanjo,Goodluck Jonathan,Muhammadu Buhari,Umaru Musa Yar'Adua
Fill in the blank: The Nigerian singer who popularized the song 'Duro' is _______.,easy,A,Kizz Daniel,Tekno,Patoranking,Olamide
"The _______ is the largest part of the human brain, responsible for higher brain functions.",medium,C,Cerebellum,Brainstem,Cerebrum,Thalamus
In what year did the Nigerian Civil War officially end?,medium,A,1970,1967,1975,1980
Fill in the blank: The _______ is a popular Nigerian dish made from fermented locust beans.,easy,B,Ogbono,Iru,Pounded Yam,Efo Riro
"Who is known for the song 'Ojuelegba', which highlights street culture in Nigeria?",medium,B,Burna Boy,Wizkid,Davido,Olamide
"The basic unit of life, known as the building block of all living organisms, is called a _______.",easy,B,Tissue,Cell,Organ,Organism
Who was the first military head of state in Nigeria?,hard,D,Yakubu Gowon,Muhammadu Buhari,Julius Nyerere,Thomas Aguiyi-Ironsi
Which Nigerian singer was a judge on the reality talent show 'The Voice Nigeria'?,medium,A,Tiwa Savage,Yemi Alade,2Baba,Patoranking
Fill in the blank: The _______ is a major organ that pumps blood throughout the body.,easy,B,Liver,Heart,Lungs,Kidneys
In which year was Nigeria's first republic established?,medium,B,1960,1963,1979,1983
Who is the famous Nigerian novelist known for the book 'Things Fall Apart'?,medium,C,Chimamanda Ngozi Adichie,Wole Soyinka,Chinua Achebe,Ben Okri
The _______ system in the human body is responsible for fighting infections.,hard,C,Nervous,Muscular,Immune,Endocrine
Fill in the blank: The currency of Nigeria is known as the _______.,easy,C,Shilling,Dollar,Naira,Cedi
Which Nigerian actor starred in the movie 'The Wedding Party'?,medium,C,Jim Iyke,Ramsey Nouah,Adesua Etomi,Desmond Elliot
What part of the human body is primarily responsible for digestion?,easy,B,Heart,Stomach,Liver,Pancreas
In what year did Nigeria's 'Operation Feed the Nation' initiative begin?,hard,A,1976,1980,1972,1985
Which artist is known for the popular song 'Drogba (Joanna)'?,medium,A,Santi,Omah Lay,Fireboy DML,Boj
"The _______ is the smallest bone in the human body, located in the ear.",hard,A,Stapes,Femur,Radius,Clavicle
Who led Nigeria during the transition from military to civilian rule in 1999?,medium,A,Olusegun Obasanjo,Goodluck Jonathan,Umaru Musa Yar'Adua,Muhammadu Buhari
Fill in the blank: The Nigerian film industry is popularly known as _______.,easy,B,Bollywood,Nollywood,Woodstock,Hollywood
The _______ is the part of the brain that controls balance and coordination.,medium,B,Cerebrum,Cerebellum,Brainstem,Hypothalamus
Which Nigerian state is known as the 'Gateway to Nigeria'?,easy,B,Lagos,Ogun,Kano,Rivers
Who is the Nigerian rapper known for his hit song 'Story for the Gods'?,medium,A,Olamide,Vector,Ice Prince,Phyno
Muscles that are under voluntary control are known as _______ muscles.,easy,A,Skeletal,Cardiac,Smooth,Involuntary
The first Nigerian woman to win a Nobel Prize in Literature is _______.,hard,B,Chimamanda Ngozi Adichie,Wole Soyinka,Buchi Emecheta,Nadine Gordimer
What is the name of the popular Nigerian dance associated with the song 'Zanku'?,medium,D,Shaku Shaku,Gwara Gwara,Shaku,Zanku
Fill in the blank: The _______ is a vital organ that filters blood and produces urine.,easy,B,Liver,Kidney,Spleen,Pancreas
In which year did Nigeria's military coup led by General Muhammadu Buhari take place?,medium,A,1983,1985,1993,1980
Which Nigerian artist won the Grammy Award for Best World Music Album in 2021?,hard,A,Burna Boy,Wizkid,Davido,Yemi Alade
"The _______ is an organ that produces insulin, which regulates blood sugar levels.",medium,B,Liver,Pancreas,Gallbladder,Kidney
Who was the first President of Nigeria after military rule in 1999?,medium,C,Umaru Musa Yar'Adua,Goodluck Jonathan,Olusegun Obasanjo,Muhammadu Buhari
Fill in the blank: The popular Nigerian soup made with egusi seeds is called _______.,easy,C,Efo Riro,Ogbono,Egusi,Bitter Leaf
Which part of the human body contains the largest concentration of human blood?,hard,C,Heart,Liver,Spleen,Lungs
The popular Nigerian singer known for the song 'Joro' is _______.,medium,B,Burna Boy,Wizkid,Davido,Olamide
What is the primary function of the respiratory system?,easy,C,Digestion,Circulation,Breathing,Metabolism
In what year did Nigeria join the United Nations?,medium,A,1960,1965,1970,1975
Which Nigerian artist is known for the song 'Love Nwantiti'?,medium,B,Omah Lay,Ckay,Fireboy DML,Burna Boy
The _______ is the structure in the human eye that controls the amount of light entering.,easy,C,Cornea,Lens,Iris,Retina
Fill in the blank: The Nigerian Constitution was first adopted in _______.,medium,D,1979,1999,1960,1963
Which Nigerian actress is known for her role in the movie 'Lionheart'?,medium,A,Genevieve Nnaji,Omotola Jalade-Ekeinde,Rita Dominic,Funke Akindele
The _______ is the part of the brain responsible for regulating temperature and hunger.,medium,B,Cortex,Hypothalamus,Cerebellum,Thalamus
Fill in the blank: The Nigerian musician who collaborated with Beyoncé on the song 'Brown Skin Girl' is _______.,medium,A,Wizkid,Davido,Burna Boy,Tiwa Savage
"What type of joint is found in the shoulder, allowing for a wide range of motion?",easy,B,Hinge,Ball and Socket,Pivot,Saddle
"The Nigerian flag features three vertical stripes, with the middle stripe being _______.",easy,B,Red,White,Green,Blue
Fill in the blank: The Nigerian artist known for the phrase 'Shaku Shaku' is _______.,medium,D,Patoranking,Olamide,Davido,Naira Marley
The _______ is a tube that connects the throat to the stomach.,easy,A,Esophagus,Trachea,Intestine,Larynx
Which Nigerian singer is known for the song 'Falling'?,medium,B,Wizkid,Davido,Patoranking,Tekno
Fill in the blank: The _______ is the organ responsible for detoxifying chemicals and metabolizing drugs.,medium,B,Heart,Liver,Kidney,Lungs
Which Nigerian state was the first to create a state police?,hard,A,Lagos,Rivers,Kano,Ekiti
Fill in the blank: The _______ is the longest bone in the human body.,medium,A,femur,humerus,tibia,fibula
In what year did Nigeria become a republic?,medium,A,1963,1960,1979,1989
Which iconic Nigerian author wrote the novel 'Things Fall Apart'?,medium,A,Chinua Achebe,Wole Soyinka,Buchi Emecheta,Sefi Atta
Complete the phrase: 'The _______ is known for its role in filtering blood.',medium,A,kidney,liver,spleen,pancreas
Which Nigerian movie won the Best International Feature Film at the Academy Awards?,hard,B,The Wedding Party,Lionheart,50,The Figurine
Name the organ responsible for pumping blood throughout the body.,easy,A,heart,lungs,kidneys,liver
Which popular Nigerian musician is known for the song 'Ye'?,medium,B,Wizkid,Burna Boy,Davido,Olamide
Fill in the blank: The _______ is the largest part of the human brain.,medium,A,cerebrum,cerebellum,brainstem,thalamus
In which year did Nigeria's civil war end?,hard,A,1970,1969,1975,1965
Who is the author of the bestselling novel 'Half of a Yellow Sun'?,medium,A,Chimamanda Ngozi Adichie,Sefi Atta,Wole Soyinka,Ben Okri
Which of the following is a function of the liver?,medium,B,Producing insulin,Detoxifying substances,Storing oxygen,Filtering lymph
What was the first Nigerian film to be nominated for an Oscar?,hard,B,The Figurine,Lionheart,The Wedding Party,Black November
Identify the organ that is primarily responsible for digestion.,easy,A,stomach,liver,pancreas,small intestine
Who is known as the 'king of Afrobeats'?,medium,B,Davido,Wizkid,Burna Boy,Olamide
Which year marks the start of Nigeria's Second Republic?,medium,A,1979,1983,1975,1999
Complete the statement: The _______ is known for its role in balancing body fluids.,medium,A,kidney,liver,heart,spleen
Which popular Nigerian artist is affiliated with the term 'Afrobeats'?,easy,D,2Baba,Olamide,Yemi Alade,All of the above
Who was the military ruler during Nigeria's civil war?,hard,A,Yakubu Gowon,Muhammadu Buhari,Olusegun Obasanjo,Sani Abacha
Fill in the blank: The _______ is primarily responsible for gas exchange in the body.,medium,A,lungs,heart,kidneys,liver
What genre of music did Fela Kuti popularize?,medium,C,Highlife,Jazz,Afrobeat,Reggae
"In Nigeria, who served as the first military head of state?",hard,B,Nnamdi Azikiwe,Major General Johnson Aguiyi-Ironsi,Sani Abacha,Yakubu Gowon
Which organ in the human body helps in regulating metabolism?,medium,A,thyroid,pancreas,adrenal gland,pituitary
Which Nigerian movie is famous for the phrase 'You don chop my money'?,medium,B,The Wedding Party,30 Days in Atlanta,The Figurine,Chief Daddy
